tilt_error_rad,angular_velocity_rad_s
3.328082629642797885e-02,3.041361343459527550e-03
3.323134309834236549e-02,3.050352212332967279e-03
3.323441191478176265e-02,3.061251945278271967e-03
3.323255725262002497e-02,2.872991328597720301e-03
3.329500711393331563e-02,3.275250004146528122e-03
3.323300508953645066e-02,3.052372192466492641e-03
3.320028413422747293e-02,2.871090109230749633e-03
3.330871508667507253e-02,3.367871509969226716e-03
3.330505758051964527e-02,3.274005282771099909e-03
3.320953450091823633e-02,2.841779087868019291e-03
3.334426772286009505e-02,3.528161698603184994e-03
3.329629779509326454e-02,3.372837826518093607e-03
3.330659515538085536e-02,3.274082944890892733e-03
3.323583228921010713e-02,2.871761880270753443e-03
3.330906499790333569e-02,3.285648862567995716e-03
3.321081245427562334e-02,2.841817694951789212e-03
3.333883495885994752e-02,3.527273264135715077e-03
3.330202310557578427e-02,3.373121184674801251e-03
3.330411249338634944e-02,3.273956672234135286e-03
3.323718737442314664e-02,3.056092548449385136e-03
3.320628866562166936e-02,2.872940048629004511e-03
3.330571789512862257e-02,3.367726284131435967e-03
3.330638871394461104e-02,3.274072309420148624e-03
3.323613897833280900e-02,3.056034386641783701e-03
3.318669394909095488e-02,2.827714777551335653e-03
3.323483616669221929e-02,2.854380433439871346e-03
3.327197176811386853e-02,3.256844222893704420e-03
3.330253472305484685e-02,3.663067997763693601e-03
3.329530434928427290e-02,3.372788987376793435e-03
3.330702021682373226e-02,3.274105226602728146e-03
3.323560291395331184e-02,2.871753017396940985e-03
3.330918020023783399e-02,3.285655926350728069e-03
3.321075362647871176e-02,2.841815875830864136e-03
3.333885990290465923e-02,3.527274713715940029e-03
3.330201427992447727e-02,3.373120733612040758e-03
3.330411444211342498e-02,3.273956814095981774e-03
3.321003856937452398e-02,2.841793756270476375e-03
3.334410370836958515e-02,3.528151741847977783e-03
3.329634993059356340e-02,3.372840211337120326e-03
3.330657462955358139e-02,3.274081945385205316e-03
3.323584226764688537e-02,2.871762334892195932e-03
3.330906008935417828e-02,3.285648658324476050e-03
3.323227340360506571e-02,3.052332880516814891e-03
3.321981432241867538e-02,2.869550737381842877e-03
3.328900689334084867e-02,3.270013076711393313e-03
3.324916117444737945e-02,2.904518322276246085e-03
3.329178622637758711e-02,3.372626084929493222e-03
3.329690552058455627e-02,3.268657892042483616e-03
3.321607039970409653e-02,2.861209940372973042e-03
3.329889775026604465e-02,3.372964012929173788e-03
